run_id	timestamp	decision	discard_reason	research_val_scored_map50_95	locked_eval_scored_map50_95	locked_eval_nodule_cyst_recall	locked_eval_comedone_open_precision	locked_eval_comedone_closed_precision	locked_eval_papule_precision	locked_eval_pustule_precision	locked_eval_nodule_cyst_precision	train_duration_seconds	timeout	crashed	preprocessing_hash	notes
iter_006	2026-04-16T07:41:16.263253+00:00	DISCARD	improvement threshold not met: rv_delta=-0.0127, le_delta=0.0008	0.039439651265205294	0.03868867491533858	0.5384615384615384	0.0	0.0	0.3584905660377358	0.10112359550561797	0.2978723404255319	215.85165833999963	False	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_007	2026-04-16T07:45:28.050458+00:00	DISCARD	nodule_cyst recall 0.3846 below floor 0.5	0.049568146915736425	0.04756666533171691	0.38461538461538464	0.0	0.0	0.3972602739726027	0.29850746268656714	0.45454545454545453	300.0071997319992	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_008	2026-04-16T07:51:03.333090+00:00	DISCARD	nodule_cyst recall 0.4231 below floor 0.5	0.04875666872231525	0.06928294858413891	0.4230769230769231	0.0	0.0	0.3717277486910995	0.37735849056603776	0.5238095238095238	300.01861058100076	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_009	2026-04-16T07:56:40.678334+00:00	FAILED	train_crash:SyntaxError	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.62320279999949	False	True	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_012	2026-04-16T08:02:17.878471+00:00	DISCARD	nodule_cyst recall 0.3462 below floor 0.5	0.10506825344882822	0.07468246914628278	0.34615384615384615	0.38095238095238093	0.10204081632653061	0.4319526627218935	0.43010752688172044	0.4090909090909091	300.0100170950009	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_018	2026-04-16T08:36:36.843715+00:00	KEEP		0.12096613426577767	0.08117795691007532	0.5	0.5	0.0	0.4484848484848485	0.6571428571428571	0.21311475409836064	300.00975614399977	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_019	2026-04-16T08:42:10.514846+00:00	DISCARD	comedone_open precision drop 0.1429 exceeds limit 0.1	0.14341314962072754	0.12241845928741571	0.5769230769230769	0.35714285714285715	0.35555555555555557	0.475	0.5365853658536586	0.30612244897959184	300.7263618340003	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_021	2026-04-16T08:53:23.902209+00:00	DISCARD	pustule precision drop 0.2712 exceeds limit 0.1	0.1443503500124002	0.10446991407867891	0.5769230769230769	0.6666666666666666	0.3063063063063063	0.4587628865979381	0.38596491228070173	0.35714285714285715	300.01616669800023	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_022	2026-04-16T08:59:04.967708+00:00	FAILED	codex_invalid_output:diff_apply_failed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	True	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_023	2026-04-16T08:59:27.692409+00:00	DISCARD	nodule_cyst recall 0.4615 below floor 0.5	0.125789300987725	0.11119987628314842	0.46153846153846156	0.3939393939393939	0.40476190476190477	0.35526315789473684	0.45	0.5217391304347826	300.01294284399955	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_033	2026-04-16T09:56:01.686853+00:00	DISCARD	comedone_open precision drop 0.2600 exceeds limit 0.1	0.1278366987264489	0.1020658181884395	0.5	0.24	0.26515151515151514	0.41810344827586204	0.47368421052631576	0.5909090909090909	300.0124962259979	True	False	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
iter_035	2026-04-16T10:07:51.870673+00:00	FAILED	train_crash:SyntaxError	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7214097260002745	False	True	6a4caf0ca14f91ec7e0981d38076402170f9e1710d5c19ed5f616487b9bc1187	none
